DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-02T11:38:55Z,1791,esports-squad-fpp,True,Baltic_Main,,progress,tournament,,,bluehole-pubg,,,,,,ee70cf1b-a692-4d02-a80f-7cf90f8a1815,,,,,https://api-eks.pubg.com/shards/tournament/matches/ee70cf1b-a692-4d02-a80f-7cf90f8a1815,,,,"[{'type': 'asset', 'id': 'd3a6c064-910b-11ee-9ee4-6afa2dbf7a24'}]","[{'type': 'roster', 'id': 'ae4217ff-7fa6-450c-a883-623e3561f8ec'}, {'type': 'roster', 'id': '5a4ae5f4-3bbf-4adf-bcc7-3174c3568ab8'}, {'type': 'roster', 'id': '916ccf83-0b09-4156-9531-bd590c187368'}, {'type': 'roster', 'id': '8e18b5ad-84eb-40cd-a719-17e6684ab75c'}, {'type': 'roster', 'id': '94005012-ee0a-43d6-a98c-7681eaf843e4'}, {'type': 'roster', 'id': '50df2dd2-caad-40d5-9965-9ff9712a3edd'}, {'type': 'roster', 'id': '581e76a4-c260-440e-86b8-7ef221664174'}, {'type': 'roster', 'id': '3a1a3e56-f427-40d9-b8fb-af49120ca2a8'}, {'type': 'roster', 'id': 'da5d7746-4de5-4d7e-adc9-9153fb0697f0'}, {'type': 'roster', 'id': '2789f211-1759-4bef-919d-1eb958b0dcef'}, {'type': 'roster', 'id': 'd5a90980-3400-461e-8e59-92cf4570ffd8'}, {'type': 'roster', 'id': '3faea833-b093-44de-ba13-5b10e9d887d6'}, {'type': 'roster', 'id': '4d08d9ae-74ad-4400-801e-04e6a9066589'}, {'type': 'roster', 'id': '5dba0c23-c801-4f09-b6b8-399cc06714af'}, {'type': 'roster', 'id': 'b2c6af0c-c354-4f81-be11-571b6417972c'}, {'type': 'roster', 'id': '356c690c-c61f-4eab-b7d6-87907583acf0'}]",,,,,,,match,,,,
0,0,,,,,,,,,,,,1,0,byplayer,0,0,,63,0,0,,,0,NH_Nannnnn,account.be3c1e2f5121454abfea4b62ca13589b,,,0,4223.4277,0,0,0,450,,0,423.47577,4,15
1,1,,,,,,,,,,,,0,180.46825,byplayer,0,0,,24,1,1,,,140.45659,T5_Hatsawat,account.8cac1bff944a49d6bf88661c2e4b04e6,,,0,1693.0747,0,0,0,1392,,0,1485.1412,6,6
0,0,,,,,,,,,,,,0,24.529943,byplayer,0,0,,59,0,0,,,0,LG_Relo,account.6614558d5558453080a46dbf687e7b58,,,0,0,0,0,0,677,,0,59.978283,6,14
0,0,,,,,,,,,,,,4,61.063324,byplayer,0,1,,56,0,0,,,0,LG_Snakers,account.2efa55271d4842f98b1fd811dca09440,,,0,0,0,0,0,1128,,0,291.7913,2,14
1,0,,,,,,,,,,,,5,62.618225,byplayer,0,5,,13,1,2,,,170.72342,SQ_hwinn,account.cadc0e574c244d1db903c2e84d694836,,,0,3549.8982,0,0,0,1302,,0,1445.6616,5,9
0,0,,,,,,,,,,,,0,147.24278,byplayer,0,0,,42,0,0,,,0,Tian_LinShu23,account.6558090c205042f997ef1afa894b34e8,,,0,2885.2354,0,0,0,1097,,0,870.30615,3,7
1,0,,,,,,,,,,,,3,228.9753,byplayer,0,2,,10,2,2,,,98.95343,Tian_77owo,account.6d44884704e24010ad2bb7ebb9055fee,,,0,804.2477,0,0,0,1349,,0,920.4684,5,7
2,2,,,,,,,,,,,,3,306.22568,byplayer,0,1,,18,1,1,,,32.4686,DAY_Nourinz,account.b584be6230df4b2c90e7e86917e94127,,,1,5497.5063,0,0,0,1446,,0,1233.4758,10,4
0,0,,,,,,,,,,,,1,0,byplayer,0,2,,49,0,0,,,0,CES_HaiSaki,account.dea4fb5a5ef04ca4943915a3b936d2d1,,,0,0,0,0,0,1032,,0,953.68024,5,11
