DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-02T14:20:57Z,1865,esports-squad-fpp,True,Desert_Main,,progress,tournament,,,bluehole-pubg,,,,,,9423dea4-1470-4a29-b791-99b2c19ded6e,,,,,https://api-eks.pubg.com/shards/tournament/matches/9423dea4-1470-4a29-b791-99b2c19ded6e,,,,"[{'type': 'asset', 'id': 'a0abc503-9122-11ee-9ee4-6afa2dbf7a24'}]","[{'type': 'roster', 'id': '4297292b-3486-4d90-9173-7a21ac903f02'}, {'type': 'roster', 'id': '2b6a970e-35d5-4327-8047-01cad2b2f292'}, {'type': 'roster', 'id': 'c15e9b24-6f1e-4052-ba92-df4b5f88ac9c'}, {'type': 'roster', 'id': '652bd989-12b8-47d4-a386-9f6910f242d6'}, {'type': 'roster', 'id': 'fcdbb3e2-5882-4179-9c47-b3b408a483a5'}, {'type': 'roster', 'id': '22f9b4d8-b2f2-4538-ba83-14fe958d25a3'}, {'type': 'roster', 'id': '9a6b1528-66c9-4fd6-bbbb-afef3986cca2'}, {'type': 'roster', 'id': '43a9b516-4ae5-456b-bf7c-05a5bdda63ff'}, {'type': 'roster', 'id': 'd1647e3d-7fd7-43fe-871a-583ad2ac0e64'}, {'type': 'roster', 'id': 'b1d2341d-a73e-468b-9940-4a8f853c3342'}, {'type': 'roster', 'id': 'e2533366-be69-44f4-a296-7343ceca31a9'}, {'type': 'roster', 'id': '3e5884e6-18d7-4288-b351-c9b9dbce9eb3'}, {'type': 'roster', 'id': '6c74cfbb-fee1-4cfc-bb33-217a848fefcd'}, {'type': 'roster', 'id': 'ac1eb84c-9acf-479e-9247-06d22f2530cf'}, {'type': 'roster', 'id': 'c4a7ada4-7625-4dfb-b5ce-7ee7ae122416'}, {'type': 'roster', 'id': '6b0871cd-25af-4a76-b899-22c9e6bdc871'}]",,,,,,,match,,,,
0,0,,,,,,,,,,,,2,75.81151,byplayer,0,0,,52,0,0,,,0,GEN_DG98,account.b35ab37d7d924b46b51e63d10ae3fa36,,,0,2949.2231,0,0,0,1233,,0,1160.764,3,10
1,0,,,,,,,,,,,,4,100,byplayer,0,0,,51,0,0,,,0,GEN_Seongjang,account.5fc60d0f31f0433fb4b58a48e6fc4ef4,,,0,3044.8472,0,0,0,1337,,0,883.5578,6,10
0,1,,,,,,,,,,,,5,49.831833,byplayer,0,6,,38,0,0,,,0,TWIS_BatulinS,account.fff088a8a2b64fbf86cf283cddc1e706,,,0,2401.505,0,0,0,1167,,0,1265.9268,6,4
0,0,,,,,,,,,,,,4,272.20148,byplayer,0,6,,54,0,0,,,0,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,,,0,6760.011,0,0,0,1222,,0,1213.7891,9,12
0,0,,,,,,,,,,,,0,51.821083,byplayer,0,0,,36,0,0,,,0,DNW_seoul,account.80312051ca20415dbf0a35c910154a82,,,0,2053.6743,0,0,0,841,,0,1033.7919,5,3
0,1,,,,,,,,,,,,3,40.59,byplayer,0,0,,47,0,0,,,0,LG_Fludd,account.724b0358952440579ebc7f3391bb49ad,,,0,4123.2095,0,0,0,708,,0,450.02954,2,8
1,0,,,,,,,,,,,,1,125.3327,byplayer,0,0,,31,1,1,,,23.604216,T5_Hatsawat,account.8cac1bff944a49d6bf88661c2e4b04e6,,,0,3336.1494,0,0,0,862,,0,355.75073,6,16
4,4,,,,,,,,,,,,7,709.0892,alive,0,5,,16,1,1,,,82.12309,SQ_TGLTN,account.95dbe64c2153423da04367cb81e83629,,,0,5703.0376,0,0,0,1865,,0,1288.6548,4,1
3,1,,,,,,,,,,,,2,328.91492,byplayer,1,2,,7,2,3,,,84.90776,DAY_Nourinz,account.b584be6230df4b2c90e7e86917e94127,,,1,0,0,0,0,1158,,0,517.15765,9,15
