DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-03T11:00:43Z,1877,esports-squad-fpp,True,Desert_Main,,progress,tournament,,,bluehole-pubg,,,,,,e72060fa-f5ef-4e34-a749-ec6797ab1917,,,,,https://api-eks.pubg.com/shards/tournament/matches/e72060fa-f5ef-4e34-a749-ec6797ab1917,,,,"[{'type': 'asset', 'id': 'd9f2652f-91cf-11ee-9ee4-6afa2dbf7a24'}]","[{'type': 'roster', 'id': '0fce24d0-b0b4-47fc-aec1-0142db7a6755'}, {'type': 'roster', 'id': '5c4a9bb4-e8a0-41be-806d-b28b14ff8489'}, {'type': 'roster', 'id': '5de2f592-53ec-4f0d-a00f-fd7c7c739c4a'}, {'type': 'roster', 'id': 'e1113c69-2621-4ae9-abbb-dcaa3d05cd70'}, {'type': 'roster', 'id': '95232008-2283-4a10-8aab-6fbd5b887c2f'}, {'type': 'roster', 'id': 'ea3d89c3-1fb7-4c6d-ae55-9ee37e6b789f'}, {'type': 'roster', 'id': '49a8d7d2-9a40-4aa8-bc7f-fbd40bcb4460'}, {'type': 'roster', 'id': '63da38f4-cccd-4be9-9504-d5beb1ae4d88'}, {'type': 'roster', 'id': 'b24d78e7-7770-4006-9c6b-fdc9d391d919'}, {'type': 'roster', 'id': '0fe54e95-aa6a-4ae4-8a21-736403a6adb3'}, {'type': 'roster', 'id': 'ff61775d-4b31-49ed-ad73-90f72628d0ed'}, {'type': 'roster', 'id': 'ccf6c2c7-fc14-41e2-9e48-e73dc4b9097e'}, {'type': 'roster', 'id': '44266e4d-05be-46a2-a0e2-ddd9bbe7ca9a'}, {'type': 'roster', 'id': 'bc37e441-d669-4af6-8d95-e2ab2426e991'}, {'type': 'roster', 'id': 'e7117419-fd30-4a9b-8455-aec5b2d0e06b'}, {'type': 'roster', 'id': '557b088d-8649-4cb9-af4a-f8aa27b7a0f2'}]",,,,,,,match,,,,
0,0,,,,,,,,,,,,3,0,byplayer,0,0,,58,0,0,,,0,PeRo_Aixleft,account.358ae36813c444c2b4ff6b828df69551,,,0,10207.469,0,0,0,1076,,0,537.7269,4,14
2,0,,,,,,,,,,,,7,166.49097,byplayer,0,2,,9,1,2,,,45.824703,GEN_Esther,account.f19ec7f42ce448fb9fd1be9edcc7f9e4,,,1,2798.5188,0,0,0,1877,,0,1895.5831,6,2
2,0,,,,,,,,,,,,1,341.1026,byplayer,0,2,,25,1,1,,,74.57673,17_SuJiu,account.183a45369acd46a4888ccb3d0436bdbe,,,1,3528.3691,0,0,0,1427,,0,913.14526,4,8
1,0,,,,,,,,,,,,2,78.98146,byplayer,0,0,,63,0,0,,,0,SSG_PaG3,account.111c752c6e5f43f68b986f0725767fa6,,,0,1107.3743,0,0,0,768,,0,353.04242,5,16
0,0,,,,,,,,,,,,0,122.420074,byplayer,0,0,,60,0,0,,,0,DNW_Loki,account.79e030919cac49cda61f9a96d0f38bda,,,0,7814.16,0,0,0,890,,0,546.3447,4,15
3,1,,,,,,,,,,,,5,383.21143,suicide,1,3,,13,1,2,,,367.5367,CES_Sololzy,account.1e3531b0c6db484097baa736b6ee590f,,,0,0,0,0,0,1449,,0,1190.4011,6,6
3,0,,,,,,,,,,,,8,335.24255,byplayer,0,3,,6,2,3,,,73.63817,V7_Tosi,account.8c4b945d989b4662ad4f00a3273fb027,,,0,2726.0566,0,0,0,1418,,0,2329.5095,12,7
0,0,,,,,,,,,,,,2,28.376057,byplayer,0,0,,24,1,1,,,343.6413,V7_Gyumin,account.95041c39b2d14a088087b417af03c04f,,,0,3029.8447,0,0,0,1132,,0,1498.9298,5,7
0,0,,,,,,,,,,,,7,201.58156,byplayer,0,2,,44,0,0,,,0,FaZe_Gustav,account.89fd42f81d324253b581b8cf8b004ac4,,,0,2422.8054,0,0,0,1323,,0,1436.8739,5,9
