DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-01T12:38:36Z,1683,esports-squad-fpp,True,Tiger_Main,,progress,tournament,,,bluehole-pubg,,,,,,4a3ac79b-c385-4c36-bb29-4145e3351037,,,,,https://api-eks.pubg.com/shards/tournament/matches/4a3ac79b-c385-4c36-bb29-4145e3351037,,,,"[{'type': 'asset', 'id': 'bdef8d1b-904a-11ee-9ee4-6afa2dbf7a24'}]","[{'type': 'roster', 'id': 'c5cd91c6-1cb7-41e6-ab7c-1ed1f374b587'}, {'type': 'roster', 'id': 'ceba808b-c5bd-49c9-a217-1743117148d4'}, {'type': 'roster', 'id': 'b9ee42ce-9539-4bf6-94dc-7d98c0ba716f'}, {'type': 'roster', 'id': 'acf6dff2-dd30-4069-9c2e-1246b8937c72'}, {'type': 'roster', 'id': 'b4ceb856-0aae-488d-95b2-f4f9e143a214'}, {'type': 'roster', 'id': '97df0713-6407-441c-909d-9f4810e2da7a'}, {'type': 'roster', 'id': 'bb097697-605a-4bb4-9226-285a494f1d0c'}, {'type': 'roster', 'id': '59b5eba4-5330-421f-b950-23cfe6284db4'}, {'type': 'roster', 'id': '6fe7cb0f-08fb-4f1a-8f4d-59ac0061e7be'}, {'type': 'roster', 'id': '605d0109-97a1-4803-9fc1-9893d17426b5'}, {'type': 'roster', 'id': 'ed4551e2-fdfe-4269-83ad-bb7baeaf263c'}, {'type': 'roster', 'id': 'c00c5782-0a38-48d1-8f38-fc2aab43f31b'}, {'type': 'roster', 'id': '87198493-e972-4fa9-80d2-604405fb083a'}, {'type': 'roster', 'id': '6c071612-f2ee-48af-a43f-8f22c88943e5'}, {'type': 'roster', 'id': '5e1f5104-8838-4198-822e-3bb23c5cfb8a'}, {'type': 'roster', 'id': '09678a5d-ba1b-43a7-98ed-d2b75f554f21'}]",,,,,,,match,,,,
0,0,,,,,,,,,,,,7,69.010826,byplayer,0,8,,49,0,0,,,0,NH_Dec12th,account.77be07e20d244421bf882fea6c1e9926,,,0,5257.2417,0,0,0,1413,,0,1384.6797,5,9
1,2,,,,,,,,,,,,5,303.14493,byplayer,0,4,,41,0,0,,,0,T5_RossitedJR,account.b5a7698dd3974e789b6224b5ff7f1378,,,0,7707.955,0,0,0,1548,,0,1483.8766,7,6
1,4,,,,,,,,,,,,3,388.45148,byplayer,0,2,,20,1,1,,,69.3152,TWIS_spyrro,account.e6f018911cea4b18a6b890e99446dac7,,,0,3288.8396,0,0,0,1608,,0,1202.6765,9,5
1,0,,,,,,,,,,,,1,81.58498,byplayer,1,1,,27,1,1,,,155.47981,17_xwudd,account.0fc434bdf30b46f89710bf206982c017,,,0,2465.348,0,0,0,1314,,0,854.98834,6,11
2,2,,,,,,,,,,,,7,493.83893,byplayer,1,5,,9,1,2,,,66.70719,DNW_Loki,account.79e030919cac49cda61f9a96d0f38bda,,,1,8568.863,0,38.06604,0,1683,,0,1769.395,5,2
5,2,,,,,,,,,,,,8,578.7579,alive,2,1,,2,1,4,,,100.8309,V7_Gyumin,account.95041c39b2d14a088087b417af03c04f,,,0,10920.914,0,0,0,1683,,1,1367.7701,6,1
0,0,,,,,,,,,,,,1,90.98186,byplayer,0,0,,37,0,0,,,0,LG_Relo,account.6614558d5558453080a46dbf687e7b58,,,0,3056.6143,0,0,0,752,,0,863.5909,5,3
0,0,,,,,,,,,,,,0,0,byplayer,0,0,,48,0,0,,,0,GEN_Pio,account.2f3338b89f2c473d88f5a0d3886371f3,,,0,569.509,0,0,0,148,,0,33.75337,3,8
0,0,,,,,,,,,,,,2,0,byzone,0,0,,51,0,0,,,0,NH_Nannnnn,account.be3c1e2f5121454abfea4b62ca13589b,,,0,4119.5767,0,0,0,1179,,0,1721.6843,8,9
0,0,,,,,,,,,,,,3,201.67328,byplayer,0,1,,39,0,0,,,0,CES_Sololzy,account.1e3531b0c6db484097baa736b6ee590f,,,0,5104.9175,0,0,0,1354,,0,1505.1531,9,4
2,0,,,,,,,,,,,,1,288.88733,byplayer,0,1,,13,2,2,,,31.96823,DAY_Nourinz,account.b584be6230df4b2c90e7e86917e94127,,,0,2261.4014,0,0,0,1345,,0,2094.4888,6,10
4,1,,,,,,,,,,,,4,871.2362,byplayer,2,2,,1,2,7,,,148.18036,LG_Fludd,account.724b0358952440579ebc7f3391bb49ad,,,1,4479.242,0,0,0,1668,,0,2136.8535,5,3
2,0,,,,,,,,,,,,10,396.6534,byplayer,1,4,,10,1,2,,,150.84259,DNW_seoul,account.80312051ca20415dbf0a35c910154a82,,,0,7094.1143,0,0,0,1646,,0,2255.3457,6,2
0,1,,,,,,,,,,,,3,148.71925,byplayer,0,5,,50,0,0,,,0,NH_MMing,account.16db8a07e53e459fad9c89a84a67a42a,,,0,3958.081,0,0,0,1413,,0,2245.7744,4,9
0,0,,,,,,,,,,,,3,28.5,byplayer,0,1,,28,1,1,,,306.89252,SQ_Kickstart,account.f95d11cb515746a68b59630103a4cede,,,0,3379.9253,0,0,0,1147,,0,1317.9508,7,12
1,0,,,,,,,,,,,,0,95.01062,byplayer,0,0,,31,1,1,,,21.824377,FaZe_jeemzz,account.a53191c1cb564946a0e1b058368ba4be,,,0,4042.166,0,0,0,654,,0,485.02243,8,15
2,0,,,,,,,,,,,,4,200.13165,byplayer,0,9,,38,0,0,,,0,CES_Himass,account.c2762cc306ef4dd59c67f1866bfb69a1,,,1,3790.355,0,0,0,1650,,0,2326.867,6,4
2,3,,,,,,,,,,,,4,358.1809,byplayer,0,3,,11,1,2,,,179.34032,TWIS_BatulinS,account.fff088a8a2b64fbf86cf283cddc1e706,,,1,5313.435,0,0,0,1515,,0,1171.5386,7,5
1,0,,,,,,,,,,,,0,100,byplayer,0,0,,26,1,1,,,22.051542,DAY_PuuChiwz,account.8d67f07455aa483eb4bbad346dfe6707,,,1,2020.6503,0,0,0,668,,0,891.70056,5,10
1,0,,,,,,,,,,,,4,93.46989,byplayer,0,0,,53,0,0,,,0,17_Xbei,account.7b13f44c9ecb439b8e906362d974afb8,,,0,2319.405,0,0,0,1280,,0,1423.3649,11,11
1,1,,,,,,,,,,,,1,70.68146,byplayer,0,0,,65,0,0,,,0,SSG_PiXeL1K,account.447fdbc9247d4b4baa399d14721d4636,,,0,2043.032,0,0,0,638,,0,720.2443,4,16
1,2,,,,,,,,,,,,3,389.76633,byplayer,1,1,,14,1,2,,,171.45241,DAY_Belmoth,account.5140e067558b4d8bbc1ac8d9e2f19fb1,,,0,2011.3717,0,0,0,1281,,0,2121.884,4,10
0,0,,,,,,,,,,,,1,0,byplayer,0,1,,60,0,0,,,0,TL_ATongMuu,account.4e0b93ba1c444280b5c852d22ad87cf1,,,0,2865.7056,0,0,0,698,,0,874.1504,4,14
1,0,,,,,,,,,,,,4,487.8062,byplayer,0,4,,4,1,3,,,170.58372,LG_Snakers,account.2efa55271d4842f98b1fd811dca09440,,,1,3807.6387,0,0,0,1562,,0,1806.8076,5,3
1,0,,,,,,,,,,,,7,120.53385,byplayer,0,6,,36,0,0,,,0,DNW_Salute,account.2375c9d38a6a4fe9af48f83089aa6d43,,,0,9051.794,0,0,0,1536,,0,1824.2753,6,2
0,1,,,,,,,,,,,,1,57.6,byplayer,0,1,,66,0,0,,,0,SSG_Roth,account.bbd62c6ab18442608c0b0a8d039de006,,,0,2669.6543,0,0,0,638,,0,598.0875,6,16
0,1,,,,,,,,,,,,0,99.75721,byplayer,0,0,,43,0,0,,,0,T5_Pathompong,account.f95fd6b654a5401e8b0acac768063f35,,,0,6279.3613,0,0,0,1164,,0,1396.722,5,6
0,1,,,,,,,,,,,,0,73.8,byplayer,0,0,,58,0,0,,,0,PeRo_Cui71,account.c596e9d2c25c4e41872285a292a14b4d,,,0,947.0496,0,0,0,636,,0,596.7721,4,13
2,0,,,,,,,,,,,,3,90.943756,byplayer,0,0,,7,3,3,,,159.19713,PeRo_Ming,account.454b06f74f714a9ba5910a4b65691867,,,1,4907.93,0,0,0,902,,0,533.6913,4,13
1,0,,,,,,,,,,,,6,166.90007,byplayer,0,2,,23,1,1,,,10.044454,Tian_Zyy,account.e17ede0921cf47269ce62560299ec387,,,0,0,0,0,0,805,,0,83.55141,6,7
1,1,,,,,,,,,,,,0,100,byplayer,0,0,,64,0,0,,,0,SSG_PaG3,account.111c752c6e5f43f68b986f0725767fa6,,,0,2853.9966,0,0,0,638,,0,275.56702,5,16
0,0,,,,,,,,,,,,4,0,byplayer,0,1,,45,0,0,,,0,GEN_Esther,account.f19ec7f42ce448fb9fd1be9edcc7f9e4,,,0,2936.01,0,0,0,1510,,0,834.5027,6,8
0,1,,,,,,,,,,,,4,178.57947,byplayer,0,3,,57,0,0,,,0,PeRo_Summer,account.d647ce8c37054618ad0b75bf5de86ccb,,,0,4532.621,0,0,0,943,,0,794.12164,5,13
1,1,,,,,,,,,,,,2,102.76001,byplayer,0,0,,29,1,1,,,29.246088,PeRo_Aixleft,account.358ae36813c444c2b4ff6b828df69551,,,0,1846.2579,0,0,0,633,,0,660.858,9,13
2,1,,,,,,,,,,,,10,204.9711,byplayer,0,1,,12,1,2,,,389.45035,T5_Thanad0l,account.08ae687f7dff4a438dcd7c8d56ac6e11,,,0,6975.648,0,0,0,1537,,0,1081.2047,6,6
0,0,,,,,,,,,,,,3,55.229694,byplayer,0,0,,56,0,0,,,0,SQ_TGLTN,account.95dbe64c2153423da04367cb81e83629,,,0,2271.6494,0,0,0,1086,,0,942.7662,6,12
2,2,,,,,,,,,,,,7,294.85443,byplayer,0,4,,21,1,1,,,10.672535,TWIS_Perfect1ks,account.6d5d4e01468f4920846978b6dd5f2558,,,0,1870.9714,0,0,0,1536,,0,1684.7446,14,5
3,1,,,,,,,,,,,,9,706.7632,byplayer,3,3,,3,2,4,,,105.12302,LG_M1ME,account.d88badd38c6b457ba17f72fd825b3dbb,,,0,4675.213,0,0,0,1668,,0,1833.4535,8,3
0,0,,,,,,,,,,,,0,0,byplayer,0,0,,47,0,0,,,0,GEN_Seongjang,account.5fc60d0f31f0433fb4b58a48e6fc4ef4,,,0,3589.4072,0,0,0,661,,0,237.34691,2,8
0,0,,,,,,,,,,,,3,87.52137,byplayer,0,4,,40,0,0,,,0,CES_HaiSaki,account.dea4fb5a5ef04ca4943915a3b936d2d1,,,0,3657.6282,0,0,0,1314,,0,2487.2056,4,4
0,1,,,,,,,,,,,,10,510.068,byplayer,0,5,,17,1,1,,,5.088989,DNW_Inonix,account.3a5ab7f1df8444e7b91e666beb7d3a02,,,1,6615.3125,0,0,0,1683,,0,1854.7052,6,2
