DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-01T13:13:59Z,1834,esports-squad-fpp,True,DihorOtok_Main,,progress,tournament,,,bluehole-pubg,,,,,,ce978e81-dcfd-41ec-8dff-4b8026f80a0e,,,,,https://api-eks.pubg.com/shards/tournament/matches/ce978e81-dcfd-41ec-8dff-4b8026f80a0e,,,,"[{'type': 'asset', 'id': '0a538e25-9050-11ee-8a1f-1eb0f844511c'}]","[{'type': 'roster', 'id': '70b6c378-a7c7-48a9-9e95-6093b168016b'}, {'type': 'roster', 'id': '9432be61-a264-4c7c-91d5-3e35657257a3'}, {'type': 'roster', 'id': 'd34230fb-d09e-4548-bd77-2b16a542928f'}, {'type': 'roster', 'id': 'f2e555d4-2346-4f4e-86e6-fe613483d303'}, {'type': 'roster', 'id': '6db94a73-89d7-41fc-afb0-dfdabe23ab24'}, {'type': 'roster', 'id': 'b60c0312-424a-472b-9c8b-a1c3f56ad515'}, {'type': 'roster', 'id': '369a2437-e3bf-4b04-8c0a-e4741f9e9755'}, {'type': 'roster', 'id': '38f87578-b4f4-4b85-98fc-a7564efd48ea'}, {'type': 'roster', 'id': 'b86895e1-5c47-481f-8c2f-980c3926ccd0'}, {'type': 'roster', 'id': '4ffa9be3-548e-419b-92ef-8118563aa4dd'}, {'type': 'roster', 'id': '34f32f61-fdc4-4824-a122-231a74655b46'}, {'type': 'roster', 'id': '65f6eb55-ba6b-418e-8968-8254114f0c57'}, {'type': 'roster', 'id': '04447102-2f0d-49d8-b092-672829749cb5'}, {'type': 'roster', 'id': 'a7b6b46e-c766-4ddb-8c8f-bd6459666380'}, {'type': 'roster', 'id': '20c45a89-5075-4c73-91ed-2a3ebfe2e28d'}, {'type': 'roster', 'id': '4b4e63a1-dba0-47f8-a6ee-68bab5d2ed35'}]",,,,,,,match,,,,
1,1,,,,,,,,,,,,5,297.1948,byzone,1,5,,12,1,2,,,82.327835,TWIS_BatulinS,account.fff088a8a2b64fbf86cf283cddc1e706,,,0,4931.201,0,0,0,1338,,1,1458.6536,5,6
1,1,,,,,,,,,,,,2,431.71664,byplayer,0,2,,20,1,1,,,28.736313,TWIS_Perfect1ks,account.6d5d4e01468f4920846978b6dd5f2558,,,1,2207.13,0,0,0,1309,,0,1169.8744,5,6
2,0,,,,,,,,,,,,6,305.09848,byzone,1,2,,6,1,3,,,175.79312,FaZe_curexi,account.53b4b73c4c764a26b3cc9ebd24446352,,,1,3713.7354,0,0,0,1329,,0,1499.0167,6,8
0,0,,,,,,,,,,,,1,10.8072,byplayer,0,1,,59,0,0,,,0,V7_Tosi,account.8c4b945d989b4662ad4f00a3273fb027,,,0,2297.958,0,0,0,911,,0,1659.3086,4,14
2,0,,,,,,,,,,,,2,136.7154,byplayer,2,2,,16,2,2,,,321.94168,V7_Glaz,account.ca532dd9610c41d6abb5718673a13e0d,,,0,2598.8347,0,0,0,1133,,0,1387.9042,5,14
1,0,,,,,,,,,,,,4,399.20013,alive,0,1,,17,1,1,,,90.66902,17_xwudd,account.0fc434bdf30b46f89710bf206982c017,,,0,7935.3726,0,0,0,1834,,0,1177.936,5,1
2,1,,,,,,,,,,,,3,79.34584,byzone,0,18,,11,1,2,,,65.89207,TWIS_spyrro,account.e6f018911cea4b18a6b890e99446dac7,,,0,1815.7482,0,0,0,1466,,1,1493.2095,7,6
2,1,,,,,,,,,,,,2,242.435,byplayer,1,3,,15,1,2,,,23.613882,GEN_DG98,account.b35ab37d7d924b46b51e63d10ae3fa36,,,0,10864.354,0,0,0,1082,,0,762.47925,6,13
1,0,,,,,,,,,,,,1,150.4461,byplayer,0,1,,42,0,0,,,0,T5_Pathompong,account.f95fd6b654a5401e8b0acac768063f35,,,0,896.2352,0,0,0,1511,,0,1268.586,7,5
