DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-02T12:59:32Z,1855,esports-squad-fpp,True,Tiger_Main,,progress,tournament,,,bluehole-pubg,,,,,,fcbdaa4d-8905-4043-8ac4-9dd09dce5847,,,,,https://api-eks.pubg.com/shards/tournament/matches/fcbdaa4d-8905-4043-8ac4-9dd09dce5847,,,,"[{'type': 'asset', 'id': '3ac5b6d0-9117-11ee-8a1f-1eb0f844511c'}]","[{'type': 'roster', 'id': 'ad96f8de-8c4a-4c42-9937-8c767f4f3b16'}, {'type': 'roster', 'id': '88084eb5-e3c0-4221-8a59-9efabc2d76b8'}, {'type': 'roster', 'id': 'b169bce6-ff2d-4133-840a-c642e3749eb8'}, {'type': 'roster', 'id': 'd670fdec-ce57-4bbf-842e-31a4814058a8'}, {'type': 'roster', 'id': '14ef0a5f-664e-4b2b-99fe-f5cc1b74beca'}, {'type': 'roster', 'id': '90a19b2f-5d1e-48dc-ae7b-55ba487350a6'}, {'type': 'roster', 'id': '4b8f7b7a-b681-400d-875d-d4cd0fa8256b'}, {'type': 'roster', 'id': '925c3195-dc9c-4b8a-848b-ffae8cd5e448'}, {'type': 'roster', 'id': '65836284-08ca-4f75-8414-7ac2b7e61471'}, {'type': 'roster', 'id': '2c7405e0-8561-46e1-91dd-8087f0bfa3f9'}, {'type': 'roster', 'id': '4bba08d2-2fea-47c5-a259-1587816e12f2'}, {'type': 'roster', 'id': '0c8afdba-b843-4bad-a6cc-19186475cbb8'}, {'type': 'roster', 'id': '0b0db4ce-6f2b-4f1b-ab15-db8438399bcd'}, {'type': 'roster', 'id': 'fa4b07c1-00ea-4119-a510-3eaf89ba782c'}, {'type': 'roster', 'id': '9e18ef87-a13e-4d22-9d69-e752cb078311'}, {'type': 'roster', 'id': '5275b8db-7cbb-44f8-8a4c-40f6d3c5fb69'}]",,,,,,,match,,,,
0,0,,,,,,,,,,,,8,125.28238,byplayer,0,6,,18,1,1,,,20.531767,NH_CC108,account.5372851f3e9545b78d4d8a70b6ea605a,,,1,2858.6357,0,0,0,1802,,0,1989.3008,9,3
1,2,,,,,,,,,,,,6,395.70953,alive,0,3,,17,1,1,,,33.43046,TWIS_Perfect1ks,account.6d5d4e01468f4920846978b6dd5f2558,,,1,4741.473,0,0,0,1855,,0,1524.7745,6,1
0,0,,,,,,,,,,,,0,0,byplayer,0,1,,66,0,0,,,0,TL_Jiaoyang,account.b1eef743995a4f89870633b2edb17538,,,1,0,0,0,0,393,,0,31.442713,6,16
0,0,,,,,,,,,,,,3,94.477684,byplayer,0,0,,42,0,0,,,0,DAY_Flash,account.a12bbe8283bd43768ae28f76f86a465d,,,0,2559.866,0,0,0,1571,,0,2042.2308,5,6
0,0,,,,,,,,,,,,1,26.4,byplayer,0,0,,43,0,0,,,0,Tian_PaoPao,account.84e858daab17420e8f8b5da1a8d63fd3,,,0,4461.8467,0,17.4542,0,839,,0,819.8549,3,7
2,1,,,,,,,,,,,,10,360.6681,byplayer,0,3,,5,3,3,,,76.653114,DNW_Inonix,account.3a5ab7f1df8444e7b91e666beb7d3a02,,,1,8504.2,0,0,0,1855,,1,1877.818,8,2
1,0,,,,,,,,,,,,6,132.982,byplayer,0,3,,56,0,0,,,0,V7_Glaz,account.ca532dd9610c41d6abb5718673a13e0d,,,0,5319.538,0,0,0,1208,,0,1284.912,5,12
1,1,,,,,,,,,,,,2,122.14,byplayer,0,1,,59,0,0,,,0,CES_Himass,account.c2762cc306ef4dd59c67f1866bfb69a1,,,0,3149.421,0,0,0,1154,,0,1221.8383,7,13
1,0,,,,,,,,,,,,3,223.26077,byplayer,1,1,,14,1,2,,,43.67133,V7_Gyumin,account.95041c39b2d14a088087b417af03c04f,,,0,6568.638,0,0,0,1181,,0,1075.7898,5,12
1,1,,,,,,,,,,,,4,152.58124,byplayer,0,2,,58,0,0,,,0,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,,,0,5778.7944,0,0,0,1179,,0,765.5653,4,12
0,0,,,,,,,,,,,,0,24,byplayer,0,0,,60,0,0,,,0,CES_HaiSaki,account.dea4fb5a5ef04ca4943915a3b936d2d1,,,0,6338.1494,0,0,0,843,,0,785.6011,5,13
0,0,,,,,,,,,,,,8,79.48207,byplayer,0,4,,51,0,0,,,0,T5_Thanad0l,account.08ae687f7dff4a438dcd7c8d56ac6e11,,,0,8940.743,0,0,0,1273,,0,665.22095,6,9
0,1,,,,,,,,,,,,0,71.18951,byplayer,0,1,,54,0,0,,,0,SSG_PaG3,account.111c752c6e5f43f68b986f0725767fa6,,,1,2412.1611,0,0,0,1232,,0,1493.0681,7,11
0,0,,,,,,,,,,,,0,0,byplayer,0,0,,62,0,0,,,0,GEN_Esther,account.f19ec7f42ce448fb9fd1be9edcc7f9e4,,,0,957.00397,0,0,0,867,,0,1021.40564,3,14
1,0,,,,,,,,,,,,1,163.5537,byplayer,0,0,,19,1,1,,,70.303505,LG_Fludd,account.724b0358952440579ebc7f3391bb49ad,,,0,5328.4805,0,0,0,1648,,0,1321.5464,5,5
