DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-01T11:20:06Z,1760,esports-squad-fpp,True,Desert_Main,,progress,tournament,,,bluehole-pubg,,,,,,8d6bdc8c-629f-4064-9df4-55380487015d,,,,,https://api-eks.pubg.com/shards/tournament/matches/8d6bdc8c-629f-4064-9df4-55380487015d,,,,"[{'type': 'asset', 'id': 'f6ab0667-903f-11ee-8a1f-1eb0f844511c'}]","[{'type': 'roster', 'id': '6d03843b-5c55-4adb-9aa9-025cac336fb7'}, {'type': 'roster', 'id': '15f24e9c-7cba-4c96-b9a2-675bb2c5dd4e'}, {'type': 'roster', 'id': '363f541b-30f3-416a-a3ba-308fd04771cd'}, {'type': 'roster', 'id': '143399d2-10d3-4a94-89e5-6ae141b21a20'}, {'type': 'roster', 'id': 'd3324245-b7d1-41a1-8793-65230579d411'}, {'type': 'roster', 'id': '23adb64b-17c4-4a2f-a740-7e19d50b1bf1'}, {'type': 'roster', 'id': 'f88e85f9-dcfb-4211-942d-c0855177db26'}, {'type': 'roster', 'id': '0d701d3d-7df8-4d83-9bc2-376dd606a135'}, {'type': 'roster', 'id': '51d45dd2-af27-4f6f-b232-115921d2f7ae'}, {'type': 'roster', 'id': 'e6bd1a07-b7fd-4007-a3ae-6b25cacae843'}, {'type': 'roster', 'id': '1edfe706-3cbd-4d44-9099-fee11f337e0c'}, {'type': 'roster', 'id': 'd49981f9-b3ea-4214-b790-a665b8ca0a5f'}, {'type': 'roster', 'id': '8ac230af-fdc7-4b33-9799-cf3126d28ea5'}, {'type': 'roster', 'id': '002f87a0-3a0d-4a99-a15c-0165f1a0538f'}, {'type': 'roster', 'id': '8073d41c-9eae-4d3e-b942-214986000603'}, {'type': 'roster', 'id': 'd45a6fbf-8bd4-4a09-93b8-317374c41830'}]",,,,,,,match,,,,
2,1,,,,,,,,,,,,6,474.46283,byplayer,0,10,,20,1,1,,,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,,,2,1936.2361,0,0,0,1615,,0,1241.7546,9,3
0,0,,,,,,,,,,,,3,32.98477,byplayer,0,4,,57,0,0,,,0,SSG_Roth,account.bbd62c6ab18442608c0b0a8d039de006,,,0,0,0,0,0,1178,,0,433.99637,6,13
2,0,,,,,,,,,,,,3,165.20262,byplayer,1,4,,14,1,2,,,52.14579,LG_Snakers,account.2efa55271d4842f98b1fd811dca09440,,,1,1642.5261,0,0,0,988,,0,1449.6129,6,16
2,2,,,,,,,,,,,,1,136.15022,byplayer,0,1,,55,0,0,,,0,DAY_Flash,account.a12bbe8283bd43768ae28f76f86a465d,,,0,3493.6038,0,0,0,1218,,0,1190.2773,9,12
2,0,,,,,,,,,,,,3,366.14453,byplayer,0,3,,10,2,2,,,42.39423,TWIS_spyrro,account.e6f018911cea4b18a6b890e99446dac7,,,0,2211.9014,0,0,0,1437,,0,1492.9845,4,6
2,1,,,,,,,,,,,,5,496.57013,byplayer,0,4,,8,1,2,,,39.28969,17_xwudd,account.0fc434bdf30b46f89710bf206982c017,,,0,2669.4014,0,0,0,1483,,0,1157.122,4,5
1,0,,,,,,,,,,,,4,145.03,byplayer,0,0,,63,0,0,,,0,GEN_Pio,account.2f3338b89f2c473d88f5a0d3886371f3,,,0,5842.8794,0,0,0,1123,,0,847.92584,4,14
0,2,,,,,,,,,,,,3,459.7868,byplayer,0,1,,17,1,1,,,7.7863827,FaZe_Fexx,account.e3c55aad6c3445678dbf4063904248ea,,,0,3109.933,0,0,0,1744,,0,1396.2205,8,2
0,0,,,,,,,,,,,,2,0,byplayer,0,0,,47,0,0,,,0,DNW_Inonix,account.3a5ab7f1df8444e7b91e666beb7d3a02,,,0,8937.43,0,0,0,1033,,0,721.71155,4,8
4,2,,,,,,,,,,,,6,509.29114,byzone,3,12,,1,1,4,,,127.62926,Tian_LinShu23,account.6558090c205042f997ef1afa894b34e8,,,0,3149.1128,0,0,0,1364,,0,1344.0446,7,9
0,0,,,,,,,,,,,,2,74.1439,byplayer,0,1,,66,0,0,,,0,LG_Relo,account.6614558d5558453080a46dbf687e7b58,,,0,1992.1931,0,0,0,990,,0,1221.5403,5,16
1,0,,,,,,,,,,,,2,121.870255,byplayer,0,0,,30,1,1,,,160.12599,TL_Jiaoyang,account.b1eef743995a4f89870633b2edb17538,,,0,4288.839,0,0,0,1164,,0,746.2787,6,11
0,0,,,,,,,,,,,,2,59.06736,byplayer,0,0,,64,0,0,,,0,PeRo_Summer,account.d647ce8c37054618ad0b75bf5de86ccb,,,0,754.7173,0,0,0,1020,,0,1237.556,9,15
0,0,,,,,,,,,,,,3,0,byplayer,0,1,,37,0,0,,,0,CES_Taikonn,account.7d13843e20ae458393aa5eefcad46256,,,1,3715.837,0,0,0,987,,0,1021.3558,8,4
0,0,,,,,,,,,,,,6,48.390015,byplayer,0,0,,27,1,1,,,26.553383,DNW_seoul,account.80312051ca20415dbf0a35c910154a82,,,0,6823.529,0,0,0,1398,,0,2174.016,7,8
1,1,,,,,,,,,,,,4,141.10197,byplayer,1,3,,28,1,1,,,183.83568,Tian_Zyy,account.e17ede0921cf47269ce62560299ec387,,,0,3976.6208,0,0,0,1231,,0,1174.016,8,9
3,0,,,,,,,,,,,,2,439.37518,alive,0,1,,15,1,1,,,33.270847,T5_Hatsawat,account.8cac1bff944a49d6bf88661c2e4b04e6,,,0,1598.111,0,0,0,1760,,0,1204.71,5,1
0,0,,,,,,,,,,,,3,211.31644,byplayer,0,6,,11,1,2,,,204.11494,DNW_Salute,account.2375c9d38a6a4fe9af48f83089aa6d43,,,0,9524.448,0,0,0,1398,,0,1321.3298,5,8
3,1,,,,,,,,,,,,2,407.04996,byplayer,1,3,,9,1,2,,,203.41573,17_Xbei,account.7b13f44c9ecb439b8e906362d974afb8,,,1,3100.0132,0,0,0,1441,,0,1134.6338,5,5
4,3,,,,,,,,,,,,4,642.2328,alive,0,2,,7,1,2,,,118.71351,T5_RossitedJR,account.b5a7698dd3974e789b6224b5ff7f1378,,,0,1429.4187,0,0,0,1760,,0,1730.653,5,1
1,0,,,,,,,,,,,,3,241.52963,byplayer,1,3,,13,1,2,,,352.5546,NH_Nannnnn,account.be3c1e2f5121454abfea4b62ca13589b,,,2,5200.982,0,0,0,1354,,2,1659.1273,5,10
0,0,,,,,,,,,,,,5,30.759665,byplayer,0,2,,49,0,0,,,0,NH_CC108,account.5372851f3e9545b78d4d8a70b6ea605a,,,0,4304.2773,0,0,0,1297,,1,2008.9801,4,10
0,0,,,,,,,,,,,,4,55.88608,byplayer,0,0,,41,0,0,,,0,TWIS_Lu,account.615d20582bcc4d5cb5818922caab2f22,,,0,2678.9924,0,0,0,1322,,0,1412.3712,6,6
2,1,,,,,,,,,,,,1,269.41998,byplayer,0,2,,31,1,1,,,17.273672,PeRo_Ming,account.454b06f74f714a9ba5910a4b65691867,,,0,1246.2789,0,0,0,1020,,0,940.44305,5,15
0,0,,,,,,,,,,,,2,33.982666,byplayer,0,1,,58,0,0,,,0,SSG_PiXeL1K,account.447fdbc9247d4b4baa399d14721d4636,,,1,0,0,0,0,1178,,0,421.99036,10,13
0,0,,,,,,,,,,,,1,45.4821,byplayer,0,0,,42,0,0,,,0,TWIS_BatulinS,account.fff088a8a2b64fbf86cf283cddc1e706,,,0,2444.3987,0,0,0,1315,,0,1270.6785,4,6
4,0,,,,,,,,,,,,4,515.6648,byplayer,3,4,,2,3,4,,,423.6693,TL_Shen,account.2f6ccd93ce9645a096546f78a4383c66,,,0,3391.373,0,0,0,1350,,0,1349.3593,9,11
0,0,,,,,,,,,,,,4,0,byplayer,0,1,,52,0,0,,,0,TL_ATongMuu,account.4e0b93ba1c444280b5c852d22ad87cf1,,,1,1969.2345,0,0,0,1050,,0,485.0068,29,11
0,0,,,,,,,,,,,,5,0,byplayer,0,0,,62,0,0,,,0,GEN_Esther,account.f19ec7f42ce448fb9fd1be9edcc7f9e4,,,0,5145.7437,0,0,0,1124,,0,621.9488,7,14
1,1,,,,,,,,,,,,4,387.0388,byplayer,0,7,,25,1,1,,,75.58436,17_Lilghost,account.711dd801ef9940029675f49595c989a9,,,0,2577.9949,0,0,0,1422,,0,883.08734,6,5
2,0,,,,,,,,,,,,7,19.171093,suicide,0,15,,23,1,1,,,330.05667,CES_Sololzy,account.1e3531b0c6db484097baa736b6ee590f,,,2,4386.3257,0,0,1,1538,,0,1335.361,5,4
0,1,,,,,,,,,,,,2,163.34157,alive,1,1,,6,1,2,,,140.15135,T5_Pathompong,account.f95fd6b654a5401e8b0acac768063f35,,,0,636.74,0,0,0,1760,,0,1573.4214,7,1
3,0,,,,,,,,,,,,6,429.6085,alive,1,3,,4,1,3,,,83.34542,T5_Thanad0l,account.08ae687f7dff4a438dcd7c8d56ac6e11,,,1,735.35767,0,0,0,1760,,1,2083.6191,5,1
0,1,,,,,,,,,,,,5,99.251945,byplayer,0,0,,45,0,0,,,0,SQ_Kickstart,account.f95d11cb515746a68b59630103a4cede,,,0,1363.1971,0,0,0,1314,,0,1475.6981,5,7
0,0,,,,,,,,,,,,8,144.48322,byplayer,0,4,,29,1,1,,,57.825645,NH_Dec12th,account.77be07e20d244421bf882fea6c1e9926,,,0,2708.8804,0,0,0,1348,,0,792.87415,5,10
0,1,,,,,,,,,,,,4,122.51088,byplayer,0,0,,65,0,0,,,0,PeRo_Cui71,account.c596e9d2c25c4e41872285a292a14b4d,,,0,1204.4688,0,0,0,979,,1,974.3438,5,15
1,1,,,,,,,,,,,,4,136.68567,byplayer,0,1,,21,1,1,,,151.93562,V7_Gyumin,account.95041c39b2d14a088087b417af03c04f,,,2,1708.6378,0,0,0,1510,,0,1535.713,4,3
2,2,,,,,,,,,,,,2,271.53644,byzone,0,2,,12,1,2,,,224.62119,Tian_77owo,account.6d44884704e24010ad2bb7ebb9055fee,,,0,3520.7935,0,0,0,1262,,0,897.6395,6,9
0,1,,,,,,,,,,,,2,77.738434,byplayer,0,1,,67,0,0,,,0,LG_Fludd,account.724b0358952440579ebc7f3391bb49ad,,,0,2466.166,0,0,0,953,,0,885.2417,3,16
2,1,,,,,,,,,,,,4,207.38348,byplayer,1,1,,18,1,1,,,196.66335,FaZe_Gustav,account.89fd42f81d324253b581b8cf8b004ac4,,,0,2897.3997,0,0,0,1724,,0,1670.1963,7,2
1,2,,,,,,,,,,,,3,316.92627,byzone,0,2,,19,1,1,,,112.00548,V7_Tosi,account.8c4b945d989b4662ad4f00a3273fb027,,,0,2072.713,0,0,0,1615,,0,1313.93,6,3
1,0,,,,,,,,,,,,4,179.20901,byplayer,0,3,,22,1,1,,,86.85757,V7_Glaz,account.ca532dd9610c41d6abb5718673a13e0d,,,0,2429.851,0,0,0,1472,,0,1145.2695,5,3
0,1,,,,,,,,,,,,2,191.83946,byplayer,0,2,,44,0,0,,,0,SQ_Shrimzy,account.12e2a0dc0dbb4bd882dbf40df0d564f4,,,0,1084.047,0,0,0,1344,,0,1141.7871,7,7
0,0,,,,,,,,,,,,2,0,byplayer,0,0,,38,0,0,,,0,CES_HaiSaki,account.dea4fb5a5ef04ca4943915a3b936d2d1,,,0,2223.6562,0,0,0,634,,0,855.0767,5,4
0,1,,,,,,,,,,,,1,123.799164,byplayer,0,0,,56,0,0,,,0,DAY_PuuChiwz,account.8d67f07455aa483eb4bbad346dfe6707,,,0,3875.8826,0,0,0,1215,,1,1166.9813,5,12
