DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-01T14:34:19Z,1893,esports-squad-fpp,True,Baltic_Main,,progress,tournament,,,bluehole-pubg,,,,,,88b52db6-a6c5-4399-ac7b-73ae029dd1bd,,,,,https://api-eks.pubg.com/shards/tournament/matches/88b52db6-a6c5-4399-ac7b-73ae029dd1bd,,,,"[{'type': 'asset', 'id': '63e7a3df-905b-11ee-8a1f-1eb0f844511c'}]","[{'type': 'roster', 'id': '1b650d3a-4197-4523-870a-4efa5b3ad386'}, {'type': 'roster', 'id': '1cafb3b7-e19f-4d91-a6ae-1124c8c80ed1'}, {'type': 'roster', 'id': 'e8052fe8-9946-4cde-9a1f-c5534e80cf14'}, {'type': 'roster', 'id': '504306e8-8061-4924-b494-a27421015173'}, {'type': 'roster', 'id': '67aa3e27-0aa5-4a1f-a71e-c88f6e5e0d5d'}, {'type': 'roster', 'id': '7bd9de88-7d31-4cfa-b912-484d2bae96be'}, {'type': 'roster', 'id': '534b5aea-b029-4f39-8685-9dd8017d19ab'}, {'type': 'roster', 'id': '7e6cd6fd-232d-47d3-9286-d121709f9078'}, {'type': 'roster', 'id': '29136b60-0cc3-406c-ac3f-476db9e6f230'}, {'type': 'roster', 'id': '35987d51-ef2c-4244-bc40-4ad16d85aaaf'}, {'type': 'roster', 'id': '59d0aa23-bb15-478f-a7df-43ef05a12c49'}, {'type': 'roster', 'id': 'b7e10332-7e3e-439e-98d5-1e7e562dd1e7'}, {'type': 'roster', 'id': '1456c7e1-0b8c-409f-abec-b20aafd52a1e'}, {'type': 'roster', 'id': 'fdb239c9-eed8-410c-ac1e-05df8f1d79c9'}, {'type': 'roster', 'id': '9f995aea-011e-4785-a7ce-1ba46d3a45fa'}, {'type': 'roster', 'id': 'f5a31edf-38f7-42b4-ae4c-c39d230850e5'}]",,,,,,,match,,,,
4,3,,,,,,,,,,,,10,1120.2296,alive,2,8,,1,2,5,,,195.08003,FaZe_Fexx,account.e3c55aad6c3445678dbf4063904248ea,,,1,2091.4204,0,0,0,1893,,0,1432.2089,7,1
1,0,,,,,,,,,,,,2,139.90231,byplayer,0,1,,30,1,1,,,46.836376,PeRo_Cui71,account.c596e9d2c25c4e41872285a292a14b4d,,,0,4898.29,0,0,0,982,,0,913.51794,7,16
0,0,,,,,,,,,,,,2,0,byplayer,0,0,,42,0,0,,,0,Tian_Zyy,account.e17ede0921cf47269ce62560299ec387,,,0,8958.768,0,0,0,849,,0,1064.5294,4,6
0,0,,,,,,,,,,,,1,0,byplayer,0,0,,35,0,0,,,0,V7_Gyumin,account.95041c39b2d14a088087b417af03c04f,,,0,196.53879,0,0,0,868,,0,144.25208,9,3
0,0,,,,,,,,,,,,1,0,byplayer,0,3,,61,0,0,,,0,T5_RossitedJR,account.b5a7698dd3974e789b6224b5ff7f1378,,,0,5533.868,0,0,0,1120,,0,720.48975,4,15
1,0,,,,,,,,,,,,3,226.62349,byplayer,0,2,,17,1,1,,,19.272806,SQ_hwinn,account.cadc0e574c244d1db903c2e84d694836,,,0,8239.895,0,0,0,1760,,0,1024.6503,5,4
0,0,,,,,,,,,,,,4,18.449999,byplayer,1,2,,24,1,1,,,298.7319,TWIS_Lu,account.615d20582bcc4d5cb5818922caab2f22,,,0,3606.6555,0,0,0,1437,,0,869.02893,5,10
0,0,,,,,,,,,,,,0,56.36776,byplayer,0,0,,64,0,0,,,0,PeRo_Summer,account.d647ce8c37054618ad0b75bf5de86ccb,,,0,1634.2311,0,0,0,464,,0,636.61096,5,16
1,0,,,,,,,,,,,,0,82.51666,byplayer,1,1,,29,1,1,,,8.978064,T5_Thanad0l,account.08ae687f7dff4a438dcd7c8d56ac6e11,,,1,5118.9326,0,0,0,1120,,1,570.7508,9,15
1,0,,,,,,,,,,,,6,145.0105,byplayer,0,1,,45,0,0,,,0,NH_MMing,account.16db8a07e53e459fad9c89a84a67a42a,,,0,3274.7722,0,0,0,1540,,0,1270.5077,6,8
3,0,,,,,,,,,,,,5,147.27986,byplayer,2,1,,5,1,4,,,195.6207,DAY_Flash,account.a12bbe8283bd43768ae28f76f86a465d,,,1,5828.456,0,0,0,1615,,1,965.1742,5,7
0,0,,,,,,,,,,,,4,323.86105,byplayer,0,1,,19,1,1,,,179.07645,Tian_77owo,account.6d44884704e24010ad2bb7ebb9055fee,,,0,0,0,0,0,1700,,0,556.9114,6,6
1,1,,,,,,,,,,,,7,344.2364,alive,2,2,,4,1,4,,,154.31337,FaZe_jeemzz,account.a53191c1cb564946a0e1b058368ba4be,,,1,3222.4695,0,0,0,1893,,0,1881.6567,8,1
3,0,,,,,,,,,,,,7,386.48337,byplayer,0,5,,28,1,1,,,45.93023,DNW_Loki,account.79e030919cac49cda61f9a96d0f38bda,,,0,5550.108,0,0,0,1292,,1,922.92236,4,14
1,1,,,,,,,,,,,,9,175.59158,byplayer,0,4,,56,0,0,,,0,LG_M1ME,account.d88badd38c6b457ba17f72fd825b3dbb,,,0,3062.8,0,0,0,1403,,0,986.303,10,12
1,1,,,,,,,,,,,,3,614.5215,byplayer,1,3,,20,1,1,,,163.84541,Tian_PaoPao,account.84e858daab17420e8f8b5da1a8d63fd3,,,0,0,0,0,0,1692,,0,457.21564,6,6
0,0,,,,,,,,,,,,3,35.28,byplayer,0,3,,38,0,0,,,0,17_Lilghost,account.711dd801ef9940029675f49595c989a9,,,0,4283.807,0,0,0,1375,,0,1082.1768,5,5
0,0,,,,,,,,,,,,3,0,byzone,0,5,,63,0,0,,,0,T5_Pathompong,account.f95fd6b654a5401e8b0acac768063f35,,,0,2285.119,0,0,0,1093,,0,416.46777,10,15
0,0,,,,,,,,,,,,0,60.76261,byplayer,0,0,,60,0,0,,,0,DNW_Inonix,account.3a5ab7f1df8444e7b91e666beb7d3a02,,,0,7530.3345,0,0,0,1095,,0,854.36945,5,14
3,0,,,,,,,,,,,,3,312.3341,byplayer,0,4,,12,1,2,,,81.846794,GEN_DG98,account.b35ab37d7d924b46b51e63d10ae3fa36,,,0,8711.562,0,0,0,1522,,0,1104.0034,8,9
3,2,,,,,,,,,,,,3,560.69165,byplayer,2,2,,7,2,3,,,34.879715,CES_Himass,account.c2762cc306ef4dd59c67f1866bfb69a1,,,2,1929.3097,0,0,0,1893,,0,2471.3074,7,2
0,0,,,,,,,,,,,,1,0,byplayer,0,1,,33,0,0,,,0,FaZe_Gustav,account.89fd42f81d324253b581b8cf8b004ac4,,,0,888.2605,0,0,0,249,,0,222.77483,2,1
1,0,,,,,,,,,,,,6,518.83997,alive,1,3,,6,1,3,,,152.66228,FaZe_curexi,account.53b4b73c4c764a26b3cc9ebd24446352,,,0,1516.0503,0,0,0,1893,,0,1758.6663,6,1
0,1,,,,,,,,,,,,1,0,byplayer,0,0,,66,0,0,,,0,PeRo_Aixleft,account.358ae36813c444c2b4ff6b828df69551,,,0,1951.1112,0,0,0,458,,0,481.85422,5,16
1,0,,,,,,,,,,,,5,256.3183,byplayer,0,1,,14,2,2,,,20.333061,DNW_seoul,account.80312051ca20415dbf0a35c910154a82,,,0,6363.925,0,0,0,1292,,0,1039.3103,6,14
4,1,,,,,,,,,,,,9,443.58423,byplayer,5,6,,3,3,5,,,87.4345,SSG_PiXeL1K,account.447fdbc9247d4b4baa399d14721d4636,,,0,1498.5553,0,0,0,1301,,1,2199.273,9,13
