DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-01T11:55:40Z,1843,esports-squad-fpp,True,Desert_Main,,progress,tournament,,,bluehole-pubg,,,,,,2e851129-46e9-423c-86cb-90610970ff19,,,,,https://api-eks.pubg.com/shards/tournament/matches/2e851129-46e9-423c-86cb-90610970ff19,,,,"[{'type': 'asset', 'id': '1e1c006e-9045-11ee-9ee4-6afa2dbf7a24'}]","[{'type': 'roster', 'id': 'a740d3b1-008e-4f81-bb61-d5803c2d92e0'}, {'type': 'roster', 'id': '69c37e77-dd2a-45fc-9618-a620881fe6cb'}, {'type': 'roster', 'id': '555827e2-6778-4811-9e6c-f457074fd3a8'}, {'type': 'roster', 'id': '89e4fb96-61fe-4e8e-8501-fa9beb4caabd'}, {'type': 'roster', 'id': '7992c390-d266-4047-a1a4-acb8f902ef7d'}, {'type': 'roster', 'id': '49604317-6bb1-4c4a-b89c-2ad655fb98e9'}, {'type': 'roster', 'id': 'b7e5636f-e32e-4602-8e28-6f0ab4ff6395'}, {'type': 'roster', 'id': '70029c33-dd89-47ce-b78d-bf74a8427d44'}, {'type': 'roster', 'id': '37ac014e-2112-4078-b2ba-27a79adea919'}, {'type': 'roster', 'id': '80b6eb0f-4fb3-44eb-8865-69e7ea77b373'}, {'type': 'roster', 'id': 'e14d145b-90be-4086-8dd8-4c421d06f4d6'}, {'type': 'roster', 'id': 'a2e19184-815c-456b-b81c-14f4e61065cc'}, {'type': 'roster', 'id': '7f2fd76a-32dc-4c0f-8410-e5a6e477da2d'}, {'type': 'roster', 'id': 'e4e079b6-2d61-491e-a63e-9872c841f86b'}, {'type': 'roster', 'id': 'ad105dfa-9048-42cb-a8b2-74b324422092'}, {'type': 'roster', 'id': 'ce4659e2-62ed-453b-873d-23c689f3b861'}]",,,,,,,match,,,,
0,0,,,,,,,,,,,,5,248.49649,byplayer,0,3,,17,1,1,,,2.712396,CES_HaiSaki,account.dea4fb5a5ef04ca4943915a3b936d2d1,,,0,7356.8794,0,0,0,1724,,0,2136.3608,6,2
1,0,,,,,,,,,,,,1,144.86032,byplayer,0,0,,48,0,0,,,0,PeRo_Aixleft,account.358ae36813c444c2b4ff6b828df69551,,,0,1409.5355,0,0,0,404,,0,512.26917,6,10
0,1,,,,,,,,,,,,4,186.27452,byplayer,0,3,,26,1,1,,,21.85614,GEN_Esther,account.f19ec7f42ce448fb9fd1be9edcc7f9e4,,,0,254.46413,0,0,0,1327,,0,540.7073,5,8
1,1,,,,,,,,,,,,4,239.43066,byplayer,0,3,,27,1,1,,,15.349598,GEN_DG98,account.b35ab37d7d924b46b51e63d10ae3fa36,,,0,4948.0933,0,0,0,1225,,0,1007.4715,3,8
3,1,,,,,,,,,,,,8,463.7246,byplayer,1,7,,5,1,3,,,230.59784,DNW_Loki,account.79e030919cac49cda61f9a96d0f38bda,,,1,7539.987,0,0,0,1574,,0,1335.1926,6,6
0,0,,,,,,,,,,,,1,19.918732,byplayer,0,0,,51,0,0,,,0,T5_RossitedJR,account.b5a7698dd3974e789b6224b5ff7f1378,,,0,1563.0669,0,0,0,903,,0,836.22656,9,12
0,0,,,,,,,,,,,,3,67.32375,suicide,0,8,,57,0,0,,,0,17_SuJiu,account.183a45369acd46a4888ccb3d0436bdbe,,,0,6762.386,0,0,0,1175,,1,1082.0624,6,14
1,0,,,,,,,,,,,,4,262.29532,byplayer,0,2,,39,0,0,,,0,SQ_TGLTN,account.95dbe64c2153423da04367cb81e83629,,,0,463.77823,0,0,0,1186,,0,155.5914,4,4
0,0,,,,,,,,,,,,0,0,byplayer,0,0,,49,0,0,,,0,PeRo_Ming,account.454b06f74f714a9ba5910a4b65691867,,,0,1702.266,0,0,0,378,,0,533.9211,3,10
