DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-02T13:43:43Z,1842,esports-squad-fpp,True,Desert_Main,,progress,tournament,,,bluehole-pubg,,,,,,98c960cd-d6f6-4357-b3bf-a205a83246b2,,,,,https://api-eks.pubg.com/shards/tournament/matches/98c960cd-d6f6-4357-b3bf-a205a83246b2,,,,"[{'type': 'asset', 'id': '5fd8a32b-911d-11ee-8a1f-1eb0f844511c'}]","[{'type': 'roster', 'id': '839ed8ee-0341-4466-8a91-3fe48c272de6'}, {'type': 'roster', 'id': 'b29824be-f75c-4522-b475-4e0ada07108d'}, {'type': 'roster', 'id': '06e4cb98-f3d6-4f92-9190-b78b2135fe01'}, {'type': 'roster', 'id': 'b1e90941-9388-4183-b7b5-7caa28a056db'}, {'type': 'roster', 'id': 'a05769f1-0564-4b1b-a217-88c740f69a32'}, {'type': 'roster', 'id': '6d211416-9963-4c75-b8b6-8e843b577074'}, {'type': 'roster', 'id': 'f5b977b3-e2ef-4f3b-8b09-fe8aa6b95af1'}, {'type': 'roster', 'id': 'b8ed9dc8-20e5-45af-bede-bf19fded9a03'}, {'type': 'roster', 'id': 'da596a34-418d-470b-9613-6f53e77d9248'}, {'type': 'roster', 'id': 'a33770f7-af3a-480b-a5ca-a395857920fe'}, {'type': 'roster', 'id': '4a02bbde-e434-4131-80af-9a1cfc7eefeb'}, {'type': 'roster', 'id': 'a4653208-d303-4802-8330-342fbe1d5c88'}, {'type': 'roster', 'id': '94a6fabb-8c6e-4453-85f8-7e8c7cd298b3'}, {'type': 'roster', 'id': 'b7735bd9-8cd4-45a5-a947-0741567cd09b'}, {'type': 'roster', 'id': '7c3db0eb-8951-4f43-8de3-2ff3b99143c6'}, {'type': 'roster', 'id': 'bdc3e633-4a07-4748-8bee-8e2e82883076'}]",,,,,,,match,,,,
5,2,,,,,,,,,,,,4,751.4148,alive,1,2,,3,1,3,,,235.73781,CES_Himass,account.c2762cc306ef4dd59c67f1866bfb69a1,,,4,4446.116,0,0,0,1842,,0,2325.7427,8,1
0,0,,,,,,,,,,,,3,0,byplayer,0,1,,44,0,0,,,0,17_Xbei,account.7b13f44c9ecb439b8e906362d974afb8,,,0,4718.1577,0,0,0,1277,,0,1002.3013,7,10
0,0,,,,,,,,,,,,1,0,byplayer,0,1,,66,0,0,,,0,NH_Dec12th,account.77be07e20d244421bf882fea6c1e9926,,,0,1768.3157,0,0,0,381,,0,237.81541,2,16
0,0,,,,,,,,,,,,5,88.2738,byplayer,0,11,,38,0,0,,,0,DAY_Flash,account.a12bbe8283bd43768ae28f76f86a465d,,,1,6771.9775,0,0,0,1370,,0,1151.2599,3,8
5,4,,,,,,,,,,,,5,612.5566,byplayer,0,2,,13,1,2,,,8.368938,T5_RossitedJR,account.b5a7698dd3974e789b6224b5ff7f1378,,,0,35.53143,0,0,0,1563,,0,1098.155,7,4
3,0,,,,,,,,,,,,7,250.85355,byzone,0,4,,5,2,3,,,178.55708,TL_ATongMuu,account.4e0b93ba1c444280b5c852d22ad87cf1,,,1,7923.071,0,0,0,1496,,0,1079.9945,7,6
1,0,,,,,,,,,,,,6,323.74246,byplayer,0,3,,8,1,2,,,148.7292,DNW_Inonix,account.3a5ab7f1df8444e7b91e666beb7d3a02,,,0,2982.9775,0,0,0,1798,,0,1701.6536,4,2
1,0,,,,,,,,,,,,3,199.53914,byplayer,0,0,,20,1,1,,,17.294891,LG_Fludd,account.724b0358952440579ebc7f3391bb49ad,,,0,1290.3356,0,0,0,1354,,0,469.63663,5,5
0,0,,,,,,,,,,,,2,92.64775,byplayer,0,0,,37,0,0,,,0,FaZe_Fexx,account.e3c55aad6c3445678dbf4063904248ea,,,0,0,0,0,0,939,,0,565.70825,7,7
