Player,TWR,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
NH_CC108,56,3,2,0,0.7,0.7,0.3,4,0.5,772.1,1701.5,180.3,0,257.3,1228.1,409.4,200.2,871.7,0.9,2,0,0,2,1,2,0,0,109.2,0,0,18,3,11,90.2,6,0,0,0,20,2,11,9,2,0,0,4.7,16.5,01:14:06,00:24:42,25,928.1,15,0
V7_Glaz,54,3,3,0,1,1,0.7,4,0.8,389.4,258.1,53.9,0,129.8,624.5,208.2,39,577.8,0.7,0,0,1,1,1,2,0,2,321.9,0,0,4,0,4,5.7,3,1,1,0,14,4,7,7,3,1,0,4.1,12.9,00:57:47,00:19:15,6,324.5,7,0
DAY_PuuChiwz,54,3,1,1,0.7,0.3,0.7,2,0.5,514,403.9,88,0,171.3,809.7,269.9,0,808.7,0.6,1,1,0,1,1,3,1,0,67.4,0,1,5,0,1,22,3,0,0,0,10,0,9,3,0,0,0,3.1,16.8,01:07:33,00:22:31,8,499.7,12,0
DAY_Belmoth,53,3,2,1,1,0.7,0.3,5,0.4,605.9,356.3,249.7,0,202,450.6,150.2,0,450.6,1.3,0,1,0,1,1,2,0,0,38.5,0,1,4,0,2,0,7,0,5,0,15,0,10,5,0,0,0,3,17.4,01:02:25,00:20:48,2,150.6,7,0
Tian_LinShu23,52,3,1,1,0.7,0.3,0.3,0,1,703.9,167.4,482,0,234.6,1121.1,373.7,14,983.7,0.7,3,0,1,2,0,7,4,0,36.2,0,0,13,2,9,54.5,3,0,0,0,11,0,10,9,0,1,0,3.9,11.9,01:13:33,00:24:31,13,781.1,8,1
SSG_PaG3,51,3,3,0,1,1,0.7,3,1,264.4,0,176.4,0,88.1,687.7,229.2,173,506.5,0.5,0,2,0,1,0,3,0,2,123.2,0,0,4,0,0,0,0,0,0,0,11,2,3,3,0,0,0,2.5,33.4,00:57:28,00:19:09,9,387.7,8,0
TWIS_BatulinS,51,3,2,1,1,0.7,0.3,1,2,546.1,138.9,307.1,0,182,985.8,328.6,52.6,864.3,0.6,0,0,2,1,0,4,1,1,82.3,0,0,11,0,3,100,5,1,0,0,9,0,6,5,0,1,0,3.1,13.5,00:57:12,00:19:04,11,675.8,12,1
T5_Thanad0l,50,3,1,1,0.7,0.3,0.7,2,0.5,398.5,314.2,0,0,132.8,376.6,125.5,0,371.5,1.1,1,0,0,0,3,0,0,0,5.4,0,1,10,2,6,84.4,3,0,0,0,10,2,3,4,0,2,0,3.3,4.1,00:57:54,00:19:18,0,76.6,12,3
Tian_PaoPao,50,3,1,0,0.3,0.3,0.3,2,0.5,673.4,81.5,512.9,0,224.5,899.8,299.9,0,830.5,0.8,0,1,2,0,0,5,2,0,79,0,0,11,1,2,79,0,0,0,0,9,2,3,7,2,0,0,3.6,12.3,01:08:05,00:22:41,18,579.8,12,0
17_xwudd,50,3,1,0,0.5,0.5,0.3,1,1,560,84.1,384.9,0,186.7,699.9,233.3,0,564.9,1,1,1,1,0,0,5,2,0,90.7,0,0,9,0,6,90.9,3,0,0,0,8,0,3,5,0,2,0,2.8,13.7,01:09:40,00:23:13,4,379.9,11,0
