attributes.mapName,included.id,included.type,included.attributes.stats.DBNOs,included.attributes.stats.assists,included.attributes.stats.boosts,included.attributes.stats.damageDealt,included.attributes.stats.deathType,included.attributes.stats.headshotKills,included.attributes.stats.heals,included.attributes.stats.killPlace,included.attributes.stats.killStreaks,included.attributes.stats.kills,included.attributes.stats.longestKill,included.attributes.stats.name,included.attributes.stats.playerId,included.attributes.stats.revives,included.attributes.stats.rideDistance,included.attributes.stats.roadKills,included.attributes.stats.swimDistance,included.attributes.stats.teamKills,included.attributes.stats.timeSurvived,included.attributes.stats.vehicleDestroys,included.attributes.stats.walkDistance,included.attributes.stats.weaponsAcquired,included.attributes.stats.winPlace,included.attributes.won,included.attributes.stats.rank,included.attributes.stats.teamId
,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
Desert_Main,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
,e680c561-1fa6-4c2f-b516-6302300933fb,participant,2,1,6,474.46283,byplayer,0,10,20,1,1,72.50649,V7_Heaven,account.766148a3fa8f41ab87183e07e74d4a6e,2,1936.2361,0,0,0,1615,0,1241.7546,9,3,,,
,a9828a90-20d4-44fe-87d8-7223bb67bb87,participant,0,0,3,32.98477,byplayer,0,4,57,0,0,0,SSG_Roth,account.bbd62c6ab18442608c0b0a8d039de006,0,0,0,0,0,1178,0,433.99637,6,13,,,
Desert_Main,a9828a90-20d4-44fe-87d8-7223bb67bb87,participant,0,0,3,32.98477,byplayer,0,4,57,0,0,0,SSG_Roth,account.bbd62c6ab18442608c0b0a8d039de006,0,0,0,0,0,1178,0,433.99637,6,13,,,
Desert_Main,a9828a90-20d4-44fe-87d8-7223bb67bb87,participant,0,0,3,32.98477,byplayer,0,4,57,0,0,0,SSG_Roth,account.bbd62c6ab18442608c0b0a8d039de006,0,0,0,0,0,1178,0,433.99637,6,13,,,
Desert_Main,a9828a90-20d4-44fe-87d8-7223bb67bb87,participant,0,0,3,32.98477,byplayer,0,4,57,0,0,0,SSG_Roth,account.bbd62c6ab18442608c0b0a8d039de006,0,0,0,0,0,1178,0,433.99637,6,13,,,
Desert_Main,a9828a90-20d4-44fe-87d8-7223bb67bb87,participant,0,0,3,32.98477,byplayer,0,4,57,0,0,0,SSG_Roth,account.bbd62c6ab18442608c0b0a8d039de006,0,0,0,0,0,1178,0,433.99637,6,13,,,
Desert_Main,a9828a90-20d4-44fe-87d8-7223bb67bb87,participant,0,0,3,32.98477,byplayer,0,4,57,0,0,0,SSG_Roth,account.bbd62c6ab18442608c0b0a8d039de006,0,0,0,0,0,1178,0,433.99637,6,13,,,
